Designator,Pin,PinName,Net,Category,Description
R87,1,,CELL_2+,电阻,电阻类型:厚膜电阻;阻值:2kΩ;精度:±5%;功率:100mW;工作电压:75V;温度系数:±100ppm/℃;
R87,2,,$3N98,电阻,电阻类型:厚膜电阻;阻值:2kΩ;精度:±5%;功率:100mW;工作电压:75V;温度系数:±100ppm/℃;
Q21,1,,$3N99,三极管,数量:1个N沟道;漏源电压(Vdss):20V;连续漏极电流(Id):2.1A;导通电阻(RDS(on)):115mΩ@2.5V,3.1A;耗散功率(Pd):350mW;阈值电压(Vgs(th)):1.2V;
Q21,2,,CELL_1+,三极管,数量:1个N沟道;漏源电压(Vdss):20V;连续漏极电流(Id):2.1A;导通电阻(RDS(on)):115mΩ@2.5V,3.1A;耗散功率(Pd):350mW;阈值电压(Vgs(th)):1.2V;
Q21,3,,$3N97,三极管,数量:1个N沟道;漏源电压(Vdss):20V;连续漏极电流(Id):2.1A;导通电阻(RDS(on)):115mΩ@2.5V,3.1A;耗散功率(Pd):350mW;阈值电压(Vgs(th)):1.2V;
D15,1,,$3N99,二极管,二极管配置:独立式;稳压值(标称值):5.1V;稳压值(范围):4.85V~5.36V;耗散功率(Pd):350mW;
D15,2,,CELL_1+,二极管,二极管配置:独立式;稳压值(标称值):5.1V;稳压值(范围):4.85V~5.36V;耗散功率(Pd):350mW;
R90,1,,$3N105,电阻,电阻类型:厚膜电阻;阻值:1kΩ;精度:±1%;功率:100mW;工作电压:75V;温度系数:±100ppm/℃;
R90,2,,$3N100,电阻,电阻类型:厚膜电阻;阻值:1kΩ;精度:±1%;功率:100mW;工作电压:75V;温度系数:±100ppm/℃;
R91,1,,CELL_1+,电阻,电阻类型:厚膜电阻;阻值:2kΩ;精度:±5%;功率:100mW;工作电压:75V;温度系数:±100ppm/℃;
R91,2,,$3N211,电阻,电阻类型:厚膜电阻;阻值:2kΩ;精度:±5%;功率:100mW;工作电压:75V;温度系数:±100ppm/℃;
Q22,1,,$3N105,三极管,数量:1个N沟道;漏源电压(Vdss):20V;连续漏极电流(Id):2.1A;导通电阻(RDS(on)):115mΩ@2.5V,3.1A;耗散功率(Pd):350mW;阈值电压(Vgs(th)):1.2V;
Q22,2,,CELL_1-,三极管,数量:1个N沟道;漏源电压(Vdss):20V;连续漏极电流(Id):2.1A;导通电阻(RDS(on)):115mΩ@2.5V,3.1A;耗散功率(Pd):350mW;阈值电压(Vgs(th)):1.2V;
Q22,3,,$3N103,三极管,数量:1个N沟道;漏源电压(Vdss):20V;连续漏极电流(Id):2.1A;导通电阻(RDS(on)):115mΩ@2.5V,3.1A;耗散功率(Pd):350mW;阈值电压(Vgs(th)):1.2V;
D16,1,,$3N105,二极管,二极管配置:独立式;稳压值(标称值):5.1V;稳压值(范围):4.85V~5.36V;耗散功率(Pd):350mW;
D16,2,,CELL_1-,二极管,二极管配置:独立式;稳压值(标称值):5.1V;稳压值(范围):4.85V~5.36V;耗散功率(Pd):350mW;
CN2,1,,CELL_6+,连接器,插针结构:1x7P;间距:2.54mm;安装方式:弯插;参考系列:XH;总PIN数:7P;排数:1;每排PIN数:7;额定电流:3A;触头材质:黄铜;工作温度:-25℃~+85℃;
CN2,2,,CELL_5+,连接器,插针结构:1x7P;间距:2.54mm;安装方式:弯插;参考系列:XH;总PIN数:7P;排数:1;每排PIN数:7;额定电流:3A;触头材质:黄铜;工作温度:-25℃~+85℃;
CN2,3,,CELL_4+,连接器,插针结构:1x7P;间距:2.54mm;安装方式:弯插;参考系列:XH;总PIN数:7P;排数:1;每排PIN数:7;额定电流:3A;触头材质:黄铜;工作温度:-25℃~+85℃;
CN2,4,,CELL_3+,连接器,插针结构:1x7P;间距:2.54mm;安装方式:弯插;参考系列:XH;总PIN数:7P;排数:1;每排PIN数:7;额定电流:3A;触头材质:黄铜;工作温度:-25℃~+85℃;
CN2,5,,CELL_2+,连接器,插针结构:1x7P;间距:2.54mm;安装方式:弯插;参考系列:XH;总PIN数:7P;排数:1;每排PIN数:7;额定电流:3A;触头材质:黄铜;工作温度:-25℃~+85℃;
CN2,6,,CELL_1+,连接器,插针结构:1x7P;间距:2.54mm;安装方式:弯插;参考系列:XH;总PIN数:7P;排数:1;每排PIN数:7;额定电流:3A;触头材质:黄铜;工作温度:-25℃~+85℃;
CN2,7,,CELL_1-,连接器,插针结构:1x7P;间距:2.54mm;安装方式:弯插;参考系列:XH;总PIN数:7P;排数:1;每排PIN数:7;额定电流:3A;触头材质:黄铜;工作温度:-25℃~+85℃;
C3,1,,$3N178,电容,容值:1uF;精度:±10%;额定电压:50V;温度系数:X7R;
C3,2,,$3N179,电容,容值:1uF;精度:±10%;额定电压:50V;温度系数:X7R;
C1,1,,$3N179,电容,容值:1uF;精度:±10%;额定电压:50V;温度系数:X5R;
C1,2,,GND,电容,容值:1uF;精度:±10%;额定电压:50V;温度系数:X5R;
R2,1,,$3N179,电阻,电阻类型:厚膜电阻;阻值:100Ω;精度:±5%;功率:125mW;工作电压:150V;温度系数:±100ppm/℃;
R2,2,,$3N150,电阻,电阻类型:厚膜电阻;阻值:100Ω;精度:±5%;功率:125mW;工作电压:150V;温度系数:±100ppm/℃;
D2,1,,$3N150,二极管,二极管配置:-;正向压降(Vf):1V@250mA;直流反向耐压(Vr):100V;整流电流:150mA;
D2,2,,CELL_6+,二极管,二极管配置:-;正向压降(Vf):1V@250mA;直流反向耐压(Vr):100V;整流电流:150mA;
D3,1,,BAT+,二极管,二极管配置:-;正向压降(Vf):1V@250mA;直流反向耐压(Vr):100V;整流电流:150mA;
